全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
222127,81,静岡県焼津市,防火水そう,222127,0085000,静岡県焼津市利右衛門847番地,静岡県,焼津市,利右衛門,847番地,,34.792486,138.293393,,
222127,82,静岡県焼津市,防火水そう,222127,0085000,静岡県焼津市利右衛門2668番地,静岡県,焼津市,利右衛門,2668番地,,34.782058,138.296751,,
222127,83,静岡県焼津市,防火水そう,222127,0022000,静岡県焼津市上泉612番地の320,静岡県,焼津市,上泉,612番地の320,,34.816074,138.250371,,
222127,84,静岡県焼津市,防火水そう,222127,0022000,静岡県焼津市上泉707番地の62,静岡県,焼津市,上泉,707番地の62,,34.817205,138.248517,,
222127,85,静岡県焼津市,防火水そう,222127,0024000,静岡県焼津市上新田703,静岡県,焼津市,上新田,703,,34.818421,138.271973,,
222127,86,静岡県焼津市,防火水そう,222127,0038000,静岡県焼津市下江留2231番地,静岡県,焼津市,下江留,2231番地,,34.81122,138.268239,,
222127,87,静岡県焼津市,防火水そう,222127,0041000,静岡県焼津市下小杉537番地,静岡県,焼津市,下小杉,537番地,,34.812876,138.315688,,
222127,88,静岡県焼津市,防火水そう,222127,0050000,静岡県焼津市高新田316番地の3,静岡県,焼津市,高新田,316番地の3,,34.801572,138.30108,,
222127,89,静岡県焼津市,防火水そう,222127,0076000,静岡県焼津市宗高1510番地の2,静岡県,焼津市,宗高,1510番地の2,,34.815563,138.277702,,
222127,90,静岡県焼津市,防火水そう,222127,0019000,静岡県焼津市小浜208番地の45,静岡県,焼津市,小浜,208番地の45,,34.888488,138.332044,,
222127,91,静岡県焼津市,防火水そう,222127,0050000,静岡県焼津市高新田2067番地26,静岡県,焼津市,高新田,2067番地26,,34.796953,138.307765,,
222127,92,静岡県焼津市,防火水そう,222127,0003000,静岡県焼津市石津421-3,静岡県,焼津市,石津,421-3,,34.842789,138.313346,,
222127,93,静岡県焼津市,井戸,222127,0003000,静岡県焼津市石津2254番地5,静岡県,焼津市,石津,2254番地5,,34.84532,138.32989,,
222127,94,静岡県焼津市,井戸,222127,0005000,静岡県焼津市石津港町28番地,静岡県,焼津市,石津港町,28番地,,34.842791,138.330698,,
222127,95,静岡県焼津市,井戸,222127,0005000,静岡県焼津市石津港町40番地1,静岡県,焼津市,石津港町,40番地1,,34.840986,138.326182,,
222127,96,静岡県焼津市,井戸,222127,0006000,静岡県焼津市石津向町24番地1,静岡県,焼津市,石津向町,24番地1,,34.84082,138.32012,,
222127,97,静岡県焼津市,井戸,222127,0010000,静岡県焼津市鰯ケ島69番地の5,静岡県,焼津市,鰯ケ島,69番地の5,,34.858061,138.323774,,
222127,98,静岡県焼津市,井戸,222127,0011003,静岡県焼津市駅北三丁目8番8,静岡県,焼津市,駅北三丁目,8番8,,34.87385,138.314754,,
222127,99,静岡県焼津市,井戸,222127,0011005,静岡県焼津市駅北五丁目1番24,静岡県,焼津市,駅北五丁目,1番24,,34.874998,138.3203641,,
222127,100,静岡県焼津市,井戸,222127,0020000,静岡県焼津市小柳津366番地,静岡県,焼津市,小柳津,366番地,,34.853379,138.28478,,
222127,101,静岡県焼津市,井戸,222127,0029002,静岡県焼津市小川新町二丁目7番11号  ,静岡県,焼津市,小川新町二丁目,7番11号  ,,34.85735,138.32029,,
222127,102,静岡県焼津市,井戸,222127,0030000,静岡県焼津市小土301番地の2,静岡県,焼津市,小土,301番地の2,,34.867846,138.292641,,
222127,103,静岡県焼津市,井戸,222127,0032003,静岡県焼津市栄町三丁目4番18,静岡県,焼津市,栄町三丁目,4番18,,34.869565,138.320331,,
222127,104,静岡県焼津市,井戸,222127,0032003,静岡県焼津市栄町三丁目5番14,静岡県,焼津市,栄町三丁目,5番14,,34.869456,138.321682,,
222127,105,静岡県焼津市,井戸,222127,0032004,静岡県焼津市栄町四丁目6番地,静岡県,焼津市,栄町四丁目,6番地,,34.869996,138.318646,,
