事故内容,事故内容区分,事故類型,事故類型区分,天候,天候区分,昼夜,昼夜区分,時間帯区分,曜日(発生年月日),曜日区分,死者数,発生日時　　分,発生日時　　年,発生日時　　日,発生日時　　時,発生日時　　月,発生日時（年月日）,発生日時（時間）,負傷者数,路線,路線コード,道路形状,道路形状区分,件数,経度,緯度
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,28,2021,02,07,08,2021-08-02,07:28,1,一般市町村道,3700,1,交差点－その他,1,138.3199166,34.8702222
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,25,2021,30,09,08,2021-08-30,09:25,1,一般市町村道,3700,1,交差点－その他,1,138.3096666,34.7973055
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,38,2021,27,09,09,2021-09-27,09:38,1,一般市町村道,3700,1,交差点－その他,1,138.31125,34.8230555
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,55,2021,11,09,10,2021-10-11,09:55,1,主要地方道－都道府県道,1031,1,交差点－その他,1,138.3185277,34.8375277
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,20,2021,29,13,11,2021-11-29,13:20,1,一般都道府県道,2227,1,交差点－その他,1,138.2836944,34.8110833
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,12,2021,29,12,11,2021-11-29,12:12,1,一般都道府県道,2416,1,交差点－その他,1,138.3176388,34.8553611
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,17,2021,13,08,12,2021-12-13,08:17,1,一般市町村道,3700,1,交差点－その他,1,138.3220833,34.8587222
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,32,2021,13,10,12,2021-12-13,10:32,1,一般市町村道,3700,1,交差点－その他,1,138.2953888,34.8293333
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,25,2021,29,09,03,2021-03-29,09:25,1,一般市町村道,3700,7,交差点付近－その他,1,138.3078888,34.8424722
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,10,2021,28,09,06,2021-06-28,09:10,1,一般市町村道,3700,7,交差点付近－その他,1,138.3111388,34.8191944
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,43,2021,05,09,07,2021-07-05,09:43,1,一般都道府県道,2416,7,交差点付近－その他,1,138.3182777,34.8585833
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,00,2021,05,10,07,2021-07-05,10:00,1,一般市町村道,3700,7,交差点付近－その他,1,138.2893888,34.8681111
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,21,2021,06,07,09,2021-09-06,07:21,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.2996388,34.8539166
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,43,2021,06,12,09,2021-09-06,12:43,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.3011666,34.8595833
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,05,2021,22,11,03,2021-03-22,11:05,1,主要地方道－都道府県道,1031,13,単路－カーブ・屈折,1,138.31825,34.8312222
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,35,2021,11,13,01,2021-01-11,13:35,1,一般市町村道,3700,14,単路－その他,1,138.3081666,34.8470833
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,01,2021,08,12,02,2021-02-08,12:01,1,主要地方道－都道府県道,1081,14,単路－その他,1,138.3042777,34.8811666
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,2,月,0,00,2021,08,15,02,2021-02-08,15:00,1,一般市町村道,3700,14,単路－その他,1,138.3233611,34.8879444
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,22,2021,29,12,03,2021-03-29,12:22,1,一般国道（国道番号）,150,14,単路－その他,1,138.2999722,34.8546111
