ID,学区,学区No.,学区ごとNo,URL,経度,緯度
119,焼津東,2,27,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3232009,34.86939063
120,焼津東,2,28,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3212017,34.86878398
121,焼津東,2,29,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3227356,34.86749952
122,焼津東,2,30,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3241931,34.86663756
123,焼津東,2,31,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3208106,34.86909919
124,焼津東,2,32,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3225111,34.86818667
125,焼津東,2,33,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3209667,34.86732475
126,焼津東,2,34,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3224462,34.86831729
127,焼津東,2,35,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3165512,34.87012424
128,焼津東,2,36,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3164253,34.87014451
129,焼津東,2,37,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.318717,34.8709839
130,焼津東,2,38,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3173767,34.86915367
131,焼津東,2,39,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3200009,34.87034701
132,焼津東,2,40,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3195919,34.87032892
133,焼津東,2,41,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3200631,34.86960337
134,焼津東,2,42,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.314717,34.86962501
135,焼津東,2,43,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3181682,34.87076312
136,焼津東,2,44,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3156047,34.86828755
137,焼津東,2,45,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3171989,34.870312
138,焼津東,2,46,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3163378,34.87064561
139,焼津東,2,47,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.317969,34.87075453
140,焼津東,2,48,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3155639,34.86868892
141,焼津東,2,49,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3167825,34.86917865
142,焼津東,2,50,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3182153,34.87317973
144,焼津東,2,52,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3187567,34.87302557
145,焼津東,2,53,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3217545,34.87460364
146,焼津東,2,54,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3162823,34.87340111
147,焼津東,2,55,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3156914,34.87368644
148,焼津東,2,56,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3183908,34.87444947
150,焼津東,2,58,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.316472,34.87541091
151,焼津東,2,59,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3223795,34.87155869
152,焼津東,2,60,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3227384,34.87088391
153,焼津東,2,61,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3233762,34.87218758
154,焼津東,2,62,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3236809,34.87266139
155,焼津東,2,63,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3231692,34.87256419
156,焼津東,2,64,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3257953,34.87391481
157,焼津東,2,65,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3261126,34.87418481
158,焼津東,2,66,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3266606,34.87257364
159,焼津東,2,67,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3240065,34.87362114
160,焼津東,2,68,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3255664,34.874802
161,焼津東,2,69,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3265334,34.87549365
162,焼津西,3,1,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3084625,34.86498201
163,焼津西,3,2,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3058309,34.86129614
164,焼津西,3,3,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3056578,34.86452979
165,焼津西,3,4,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3056578,34.86452979
166,焼津西,3,5,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3071811,34.8657595
167,焼津西,3,6,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3082828,34.86521611
168,焼津西,3,7,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3085409,34.86476091
169,焼津西,3,8,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3017606,34.86615448
170,焼津西,3,9,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3022581,34.86621974
171,焼津西,3,10,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.304277,34.86435755
172,焼津西,3,11,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3011998,34.85740395
173,焼津西,3,12,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.2929606,34.87127479
174,焼津西,3,13,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.2976653,34.87823203
175,焼津西,3,14,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3021198,34.87621723
176,焼津西,3,15,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.2951089,34.87205426
177,焼津西,3,16,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.298097,34.8785425
178,焼津西,3,17,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.2997164,34.87534201
179,焼津西,3,18,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.2957386,34.87498336
180,焼津西,3,19,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3056203,34.87301925
181,焼津西,3,20,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3060014,34.87241063
182,焼津西,3,21,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3049545,34.87075445
183,焼津西,3,22,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3037609,34.87029863
184,焼津西,3,23,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3038181,34.87076506
185,焼津西,3,24,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3028948,34.87088644
186,焼津西,3,25,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3073136,34.87178925
187,焼津西,3,26,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3067365,34.8745578
188,焼津西,3,27,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3065542,34.87453975
189,焼津西,3,28,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3066064,34.87349086
190,焼津西,3,29,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3100309,34.86895752
191,焼津西,3,30,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3085931,34.8692734
192,焼津西,3,31,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3094858,34.86890474
193,焼津西,3,32,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3096073,34.86864612
194,焼津西,3,33,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3132933,34.86900972
195,焼津西,3,34,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3089881,34.86770642
196,焼津西,3,35,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3070445,34.86876675
197,焼津西,3,36,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3073967,34.86672841
198,焼津西,3,37,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3120153,34.86824951
199,焼津西,3,38,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3047961,34.86832729
200,焼津西,3,39,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3076232,34.86629758
201,焼津西,3,40,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.2998586,34.87971699
202,焼津西,3,41,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3050289,34.87972169
203,焼津西,3,42,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3022028,34.87812474
204,焼津西,3,43,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3052148,34.88066585
205,焼津西,3,44,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.300724,34.88020008
206,焼津西,3,45,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3109981,34.87828252
207,焼津西,3,46,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3060084,34.87859144
208,焼津西,3,47,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3090264,34.87827502
209,焼津西,3,48,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.300757,34.87826364
210,焼津西,3,49,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3011573,34.8800945
211,焼津西,3,50,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3093998,34.87748392
212,焼津西,3,51,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3008201,34.87891056
213,焼津西,3,52,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3047356,34.87885751
214,焼津西,3,53,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3018272,34.87776759
215,焼津西,3,54,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3070951,34.87294867
216,焼津西,3,55,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3073036,34.87091001
217,焼津西,3,56,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3142521,34.87095562
218,焼津西,3,57,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3081269,34.87435113
219,焼津西,3,58,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.306984,34.87082981
220,焼津西,3,59,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3070831,34.86984509
221,焼津西,3,60,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3101897,34.87207756
222,焼津西,3,61,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3065567,34.87307528
223,焼津西,3,62,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.312672,34.87279557
224,焼津西,3,63,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3152114,34.87562112
225,焼津西,3,64,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.314917,34.87144227
226,焼津西,3,65,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3159742,34.87191814
227,焼津西,3,66,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3160284,34.87194644
228,焼津西,3,67,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3166386,34.8722106
229,焼津西,3,68,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3158123,34.87144669
