都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,0000010994,静岡県,焼津市,浜当目コミュニティ防災センター,ハマトウメコミュニティボウサイセンター,,,焼津市浜当目3-1-45,,34.878951,138.331213,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010995,静岡県,焼津市,大井川保育園,オオイガワホイクエン,,,焼津市下江留41,,34.801773,138.28426,,,,保育・幼稚園課,,,,【開館時間】7:30～19:00 【休館日】日曜日、国民の祝日に関する法律に規定する休日,,,,
222127,0000010996,静岡県,焼津市,大富地域交流センター,オオトミチイキコウリュウセンター,,,焼津市中根新田93-1,,34.83828021,138.2983771,,,,スマイルライフ推進課,,,,【開館時間】9:00～21：30 【休館日】月曜日,,,,
222127,0000010997,静岡県,焼津市,小石川駐車場,コイシガワチュウシャジョウ,,,焼津市栄町2-7-21,,34.87096,138.320503,,,,道路課,,,,【開館時間】24時間,,,,
222127,0000010999,静岡県,焼津市,焼津駅南口自転車駐車場,ヤイヅエキミナミグチジテンシャチュウシャジョウ,,,焼津市栄町1-1-27,,34.872813,138.319844,,,,道路課,,,,【開館時間】6：00～22：30,,,,
222127,0000011001,静岡県,焼津市,小川新地コミュニティ防災センター,コガワシンチコミュニティボウサイセンター,,,焼津市小川新町1-11-2,,34.858654,138.321539,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000011002,静岡県,焼津市,水防倉庫（石脇）,スイボウソウコイシワキ,,,焼津市石脇上693-19,,34.890515,138.321563,,,,河川課,,,,,,,,
222127,0000011003,静岡県,焼津市,本町５丁目共同駐車場,ホンマチゴチョウメキョウドウチュウシャジョウ,,,焼津市本町5-6-1,,34.862734,138.320995,,,,管財課,,,,【開館時間】8:00～22:30,,,,
222127,0000011008,静岡県,焼津市,消防団第７分団車庫・詰所,ショウボウダンダイナナブンダンシャコツメショ,,,焼津市坂本973,,34.89219543,138.3107799,,,,地域防災課,,,,,,,,
222127,0000011009,静岡県,焼津市,保健センター防災倉庫（黒石小学校）,ホケンセンターボウサイソウコクロイシショウガッコウ,,,焼津市大住1246-126,,34.85075669,138.3007005,,,,健康づくり課,,,,,,,,
222127,0000011010,静岡県,焼津市,大井川西放課後児童クラブ,オオイガワニシホウカゴジドウクラブ,,,焼津市上泉1688-1,,34.814867,138.266082,,,,家庭・子ども支援課,,,,【開館時間】平日：12:00～18:30　　土曜日：7:30～17:30 長期休暇：7:30～18:30 【休館日】日曜日、祝祭日,,,,
222127,0000011011,静岡県,焼津市,漁船員テニス場,ギョセンインテニスジョウ,,,焼津市中港5-20,,34.873777,138.330001,,,,スポーツ課,,,,【開館時間】8:00～21:00 【休館日】毎週月曜日、年末年始,,,,
222127,0000011012,静岡県,焼津市,石脇観光トイレ及び休憩所,イシワキカンコウトイレオヨビキュウケイジョ,,,焼津市石脇上592-1,,34.892028,138.322667,,,,観光交流課,,,,,,,,
222127,0000011015,静岡県,焼津市,大井川商工業研修センター,オオイガワショウコウギョウケンシュウセンター,,,焼津市宗高900,,34.804081,138.283987,,,,商工課,,,,【開館時間】09:00～22:00 【休館日】年末年始,,,,
222127,0000011016,静岡県,焼津市,大井川庁舎,オオイガワチョウシャ,,,焼津市宗高900,,34.803716,138.284334,,,,大井川市民サービスセンター,,,,【開館時間】8：30～17：15 【休館日】土、日、祭日,,,,
222127,0000011017,静岡県,焼津市,消防団第２分団車庫・詰所,ショウボウダンダイニブンダンシャコツメショ,,,焼津市焼津2-7-1,,34.86502803,138.313851,,,,地域防災課,,,,,,,,
222127,0000011030,静岡県,焼津市,放課後等デイサービス（色えんぴつ）,ホウガゴトウデイサービスイロエンピツ,,,焼津市三ケ名1058-1,,34.8601446,138.3052009,,,,地域福祉課,,,,【開館時間】平日　15:00～18:00   夏休み等　9:00～16:00 【休館日】土、日、祝日,,,,
222127,0000011031,静岡県,焼津市,大井川精神障害者地域活動支援センター,オオイガワセイシンショウガイシャチイキカツドウシエンセンター,,,焼津市宗高950-1,,34.80585406,138.2863496,,,,地域福祉課,,,,【開館時間】9:00～16:00 【休館日】土、日、祝日,,,,
