ID,業種,店舗名,住所,建物名,経度,緯度
56,飲食店,グリルSASAYA,焼津4丁目9-19,,138.3137317,34.86300475
57,飲食店,ケーキショップ　Kettlewhistle,大島1779-2,,138.3019445,34.8205256
58,飲食店,けのひ堂　焼津店,西小川1-11-9,,138.3084759,34.86151615
59,飲食店,ゴーマルカフェ,東小川6丁目13-3,,138.3106426,34.85413758
60,飲食店,五味八珍　大井川店,下江留1707-1,,138.2737111,34.81184002
61,飲食店,古民家かふぇダイニングやいづ,本町1-1-22,,138.3216042,34.86848284
62,飲食店,コメダ珈琲店　焼津インター店,八楠4-13-1,,138.3045201,34.88046091
63,飲食店,さいとう農園カフェtete,大島1329,,138.2957929,34.8197845
64,飲食店,さかな大食堂渚（焼津さかなセンター内）,八楠4-13-7,,138.3043009,34.88067556
65,飲食店,櫻や,東小川7丁目19-8,,138.3085773,34.8518798
66,飲食店,酒肴本丸駅前栄町店,栄町1丁目3-6,,138.3134592,34.87136476
67,飲食店,さんすい1号店,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
68,飲食店,さんすい2号店,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
69,飲食店,シーカープ,五ケ堀之内1458-1,,138.2926045,34.85487091
71,飲食店,自家焙煎珈琲 caffemaco,中里556-1,,138.3152978,34.8803667
72,飲食店,成作,南小川2-5-2,,138.3176345,34.84953532
73,飲食店,シジカフェ,五ケ堀之内24-27,,138.2914217,34.86442534
75,飲食店,酒季の蔵,焼津3-10-8,,138.3092272,34.86338171
76,飲食店,酒食処ゆず,本町2-9-15,,138.3221511,34.86795446
77,飲食店,酒房ふくろう,五ｹ堀之内1213-1,,138.2933372,34.85867006
78,飲食店,鐘庵東小川店,東小川6-5-13,,138.3092417,34.85396861
80,飲食店,食事処　かどや,中港3-4-31,,138.3257953,34.87391481
81,飲食店,食事処すずき,西焼津32-1,ラポート102,138.2832887,34.85866591
82,飲食店,食楽　えんや,石津1-9-17,,138.3108084,34.84262584
83,飲食店,真弥,大住711-2,,138.2899951,34.84692752
84,飲食店,スイーツカフェ豆治,小柳津515-3,,138.2884648,34.85387836
85,飲食店,すしせい,小柳津536番地の1,,138.2887036,34.85242034
86,飲食店,寿し春,中港1-1-4,,138.3199006,34.87246005
87,飲食店,寿司実,三和1167番地の2,,138.2978137,34.82795004
89,飲食店,スマル家　焼津さかなセンター店,八楠4-13-7,,138.3043009,34.88067556
90,飲食店,炭火串焼　酒楽,西小川8-1-6,志桜ビル201,138.3080745,34.85012614
91,飲食店,炭火串焼　輪,西小川2-2-6,,138.3113706,34.8589214
92,飲食店,炭火焼 居酒屋 みゆき,西小川1-11-20,,138.3093962,34.86101366
94,飲食店,創作料理　がじゅまる,西小川2-4-19,,138.3110258,34.85918365
95,飲食店,そば 一玄,小土896-7,,138.2880745,34.86542616
96,飲食店,蕎麦屋　わびすけ,田尻235-1,,138.3180945,34.83113423
97,飲食店,そば屋案山棒,大住99,,138.2875668,34.85096335
98,飲食店,蕎麦屋神楽焼津店,西小川4-2-5,,138.3084542,34.85298754
99,飲食店,ダイニングカラオケバー　A bientot,西小川1丁目3-10,パーク西小川101,138.3111245,34.86002814
100,飲食店,ダイニングバー　Vino！Vino！,栄町1-1-32,アピオビル1F,138.319397,34.87247084
101,飲食店,ダイニングバーbj,栄町1丁目2-11,小林ビル2F,138.3186998,34.87139811
103,飲食店,DINING 友秀,小屋敷448-1,,138.2826611,34.8610853
104,飲食店,大漁　やまちゃん,中港2-7-2,,138.3238848,34.87026751
105,飲食店,多幸,石津1143-1,,138.318482,34.84579647
106,飲食店,たこ焼き＆スマイル,栄町1丁目5-17,,138.3184681,34.87137893
